도로명,OSM highway 등급,중심 최근접(m),최원접(m),400m 원과의 관계,조회일
세종대로,primary,159,966,원 안까지 들어옴,2026-09-21
사직로,primary,243,919,원 안까지 들어옴,2026-09-21
(무명),primary,247,260,원 안까지 들어옴,2026-09-21
율곡로,primary,255,735,원 안까지 들어옴,2026-09-21
우정국로,secondary,351,595,원 안까지 들어옴,2026-09-21
종로,primary,359,847,원 안까지 들어옴,2026-09-21
무교로,secondary,361,833,원 안까지 들어옴,2026-09-21
새문안로,primary,391,774,원 안까지 들어옴,2026-09-21
청계천로,primary,460,950,원 밖,2026-09-21
(무명),secondary,473,623,원 밖,2026-09-21
남대문로,secondary,595,892,원 밖,2026-09-21
자하문로,primary,628,945,원 밖,2026-09-21
