중심거리(m),구분,명칭,위도,경도,OSM 식별자,조회일
175,공원(소공원.광장 등),수성공원,37.57378,126.98095,way/236942967,2026-09-21
246,공원(소공원.광장 등),청진공원,37.57136,126.97972,way/634122055,2026-09-21
271,공원(소공원.광장 등),세종로공원,37.57356,126.97593,way/223157536,2026-09-21
279,역,광화문,37.57162,126.9769,node/6039313647,2026-09-21
330,공원(소공원.광장 등),우정총국시민광장,37.57438,126.98258,relation/10739781,2026-09-21
432,공원(소공원.광장 등),열린송현 녹지광장,37.57688,126.98142,way/424080008,2026-09-21
458,공원(소공원.광장 등),(무명),37.56963,126.9808,way/1002205234,2026-09-21
470,공원(소공원.광장 등),청계천이 보이는 쉼터,37.5694,126.98032,node/12069181104,2026-09-21
471,공원(소공원.광장 등),(무명),37.56939,126.98032,way/829964064,2026-09-21
522,역,종각,37.57017,126.98318,node/5863335699,2026-09-21
533,공원(소공원.광장 등),주시경마당,37.57218,126.97318,way/853679038,2026-09-21
536,공원(소공원.광장 등),(무명),37.57086,126.97391,way/1226961859,2026-09-21
541,공원(소공원.광장 등),(무명),37.5709,126.97381,way/1226961858,2026-09-21
545,역,경복궁,37.57579,126.97353,node/6033544429,2026-09-21
557,학교(기타),덕성여자중학교,37.57794,126.98193,way/223300026,2026-09-21
607,학교(기타),덕성여자고등학교,37.57796,126.98296,way/237615587,2026-09-21
628,공원(소공원.광장 등),(무명),37.56798,126.98047,way/431428101,2026-09-21
637,공원(소공원.광장 등),당주어린이공원,37.57191,126.97205,way/617513712,2026-09-21
671,근린공원,내수2근린공원,37.57241,126.97152,way/537163261,2026-09-21
698,초등학교,서울덕수초등학교,37.56833,126.97451,way/223298138,2026-09-21
721,공원(소공원.광장 등),경복궁,37.57977,126.9769,relation/5501517,2026-09-21
732,역,안국,37.57683,126.98617,node/5782503942,2026-09-21
734,공원(소공원.광장 등),통의동 마을마당,37.57856,126.97365,way/1148618177,2026-09-21
746,공원(소공원.광장 등),(무명),37.56904,126.97268,way/769024701,2026-09-21
777,공원(소공원.광장 등),(무명),37.57623,126.98711,way/184444070,2026-09-21
778,근린공원,내수1 근린공원,37.57354,126.97017,way/196070397,2026-09-21
780,초등학교,교동초등학교,37.57475,126.98771,way/419812885,2026-09-21
814,공원(소공원.광장 등),청계천 한빛광장,37.56804,126.98516,way/358297323,2026-09-21
821,초등학교,운현초등학교,37.57599,126.98777,relation/6182689,2026-09-21
838,학교(기타),운현유치원,37.57627,126.98785,way/414771656,2026-09-21
846,공원(소공원.광장 등),(무명),37.58093,126.98108,way/313914644,2026-09-21
856,공원(소공원.광장 등),탑골공원,37.57118,126.98827,relation/11504980,2026-09-21
890,공원(소공원.광장 등),(무명),37.56613,126.97505,way/768475227,2026-09-21
890,공원(소공원.광장 등),서울광장,37.56554,126.97798,way/370019676,2026-09-21
898,역,을지로입구,37.56595,126.98262,node/5935738064,2026-09-21
