번호,검증대상,위치,원래주장,오류유형,판정,근거법령,근거조문,식별자,원문발췌,시행일,조회일,조회경로,바로잡은내용
1,"AI 요약 (Claude Haiku 4.5, 도구 없이 생성, sources/AI요약_원문_2026-09-21.md)",1번 표,용도지역 = 국토계획법 제76조,조문,실재하지 않음,국토의 계획 및 이용에 관한 법률,제36조(용도지역의 지정),법령ID 009294 / MST 284013,"제36조(용도지역의 지정) ① 국토교통부장관, 시ㆍ도지사 또는 대도시 시장은 다음 각 호의 어느 하나에 해당하는 용도지역의 지정 또는 변경을 도시ㆍ군관리계획으로 결정한다. <개정 2011.4.14, 2013.3.23> 1. 도시지역: 다음 각 목의 어느 하나로 구분하여 지정한다. 가. 주거지역: 거주의…",2026-07-01,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),용도지역 지정 근거는 제36조. 제76조는 '용도지역 및 용도지구에서의 건축물의 건축 제한 등'임
2,"AI 요약 (Claude Haiku 4.5, 도구 없이 생성, sources/AI요약_원문_2026-09-21.md)",1번 표·4번,용도지구 = 국토계획법 제77조,조문,실재하지 않음,국토의 계획 및 이용에 관한 법률,제37조(용도지구의 지정),법령ID 009294 / MST 284013,"제37조(용도지구의 지정) ① 국토교통부장관, 시ㆍ도지사 또는 대도시 시장은 다음 각 호의 어느 하나에 해당하는 용도지구의 지정 또는 변경을 도시ㆍ군관리계획으로 결정한다. <개정 2011.4.14, 2013.3.23, 2017.4.18, 2023.5.16> 1. 경관지구: 경관의 보전ㆍ관리 및 형성을 위…",2026-07-01,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),용도지구 지정 근거는 제37조. 제77조는 '용도지역의 건폐율'임
3,"AI 요약 (Claude Haiku 4.5, 도구 없이 생성, sources/AI요약_원문_2026-09-21.md)",1번 표,시행령 제68조~제72조가 관련 조문,조문,실재하지 않음,국토의 계획 및 이용에 관한 법률 시행령,제85조(용도지역 안에서의 용적률),법령ID 009419 / MST 288857,"제85조(용도지역 안에서의 용적률) ①법 제78조제1항 및 제2항에 따른 용적률은 다음 각 호의 범위에서 관할구역의 면적, 인구규모 및 용도지역의 특성 등을 고려하여 특별시ㆍ광역시ㆍ특별자치시ㆍ특별자치도ㆍ시 또는 군의 도시ㆍ군계획조례가 정하는 비율을 초과할 수 없다. <개정 2012.4.10, 2019.8…",2026-09-18,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),"세분은 시행령 제30조, 건폐율 제84조, 용적률 제85조"
4,"AI 요약 (Claude Haiku 4.5, 도구 없이 생성, sources/AI요약_원문_2026-09-21.md)",1번 표·3번,서울특별시 도시계획 조례 제21조~제28조(또는 제21~26조)에서 건폐율·용적률 규정,조문,실재하지 않음,서울특별시 도시계획 조례,제48조(용도지역 안에서의 용적률),자치법규ID 2000719 / MST 2149501,제48조(용도지역 안에서의 용적률) 법 제78조제1항ㆍ제2항 및 영 제85조제1항에 따라 용도지역별 용적률은 다음 각 호의 비율 이하로 한다.1. 제1종전용주거지역: 100퍼센트2. 제2종전용주거지역: 120퍼센트3. 제1종일반주거지역: 150퍼센트4. 제2종일반주거지역: 200퍼센트5. 제3종일반주거지…,2026-07-13,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),"서울 조례의 용도지역별 건폐율은 제44조, 용적률은 제48조"
5,"AI 요약 (Claude Haiku 4.5, 도구 없이 생성, sources/AI요약_원문_2026-09-21.md)",1번 표,세 법령 모두 '2024년 기준 현행',시점,시점 불일치,국토의 계획 및 이용에 관한 법률 시행령,제84조(용도지역안에서의 건폐율),법령ID 009419 / MST 288857,"제84조(용도지역안에서의 건폐율) ①법 제77조제1항 및 제2항에 따른 건폐율은 다음 각 호의 범위에서 특별시ㆍ광역시ㆍ특별자치시ㆍ특별자치도ㆍ시 또는 군의 도시ㆍ군계획조례가 정하는 비율 이하로 한다. <개정 2012.4.10, 2019.12.31> 1. 제1종전용주거지역 : 50퍼센트 이하 2. 제2종전용…",2026-09-18,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),조회일 현재 현행은 법 2026-07-01(MST 284013)·시행령 2026-09-18(MST 288857)·서울 조례 2026-07-13(MST 2149501) 시행본
6,"AI 요약 (Claude Haiku 4.5, 도구 없이 생성, sources/AI요약_원문_2026-09-21.md)",4번,용도지구 15~16종 — 미관지구·시설보호지구 등 포함,시점,시점 불일치,국토의 계획 및 이용에 관한 법률,제37조(용도지구의 지정),법령ID 009294 / MST 284013,"…의 입지를 제한할 필요가 있는 지구 9. 복합용도지구: 지역의 토지이용 상황, 개발 수요 및 주변 여건 등을 고려하여 효율적이고 복합적인 토지이용을 도모하기 위하여 특정시설의 입지를 완화할 필요가 있는 지구 10. 그 밖에 대통령령으로 정하는 지구 ② 국토교통부장관, 시ㆍ도지사 또는 대도시 시장은 필요하…",2026-07-01,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),"2017.4.18 개정으로 미관지구는 경관지구로, 보존·시설보호지구는 보호지구로 통합. 현행 제37조제1항은 9종(+대통령령 위임 1호). 문화지구·광장지구·절대농지지구 등은 이 법의 용도지구가 아님"
7,"AI 요약 (Claude Haiku 4.5, 도구 없이 생성, sources/AI요약_원문_2026-09-21.md)",2번,용도지역 세분을 12종(주거3·상업3·공업3·녹지3)으로 셈,수치,수치 불일치,국토의 계획 및 이용에 관한 법률 시행령,제84조(용도지역안에서의 건폐율),법령ID 009419 / MST 288857,"…20. 농림지역 : 20퍼센트 이하 21. 자연환경보전지역 : 20퍼센트 이하 ②제1항의 규정에 의하여 도시ㆍ군계획조례로 용도지역별 건폐율을 정함에 있어서 필요한 경우에는 당해 지방자치단체의 관할구역을 세분하여 건폐율을 달리 정할 수 있다. <개정 2012.4.10> ③ 법 제77조3항제2호에서 ""대통령…",2026-09-18,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),주거6·상업4·공업3·녹지3 = 도시지역 16종 + 관리3 + 농림1 + 자연환경보전1 = 21종 (시행령 제30조·제84조제1항 1~21호). 유통상업지역·제1~3종 일반주거 등이 빠짐
8,"AI 요약 (Claude Haiku 4.5, 도구 없이 생성, sources/AI요약_원문_2026-09-21.md)",3번 표,중심상업지역 건폐율 80%,수치,수치 불일치,국토의 계획 및 이용에 관한 법률 시행령,제84조(용도지역안에서의 건폐율),법령ID 009419 / MST 288857,…6. 준주거지역 : 70퍼센트 이하 7. 중심상업지역 : 90퍼센트 이하 8. 일반상업지역 : 80퍼센트 이하 9. 근린상업지역 : 70퍼센트 이하 10. 유통상업지역 : 80퍼센트 이하 11. 전용공업지역 : 70퍼센트 이하 12. 일반공업지역 : 70퍼센트이하 13. 준공업지역 : 70퍼센트 이하 1…,2026-09-18,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),"시행령 상한 90% 이하, 서울 조례 제44조제7호는 60% 이하"
9,"AI 요약 (Claude Haiku 4.5, 도구 없이 생성, sources/AI요약_원문_2026-09-21.md)",3번 표,근린상업지역 건폐율 80%,수치,수치 불일치,국토의 계획 및 이용에 관한 법률 시행령,제84조(용도지역안에서의 건폐율),법령ID 009419 / MST 288857,…. 일반상업지역 : 80퍼센트 이하 9. 근린상업지역 : 70퍼센트 이하 10. 유통상업지역 : 80퍼센트 이하 11. 전용공업지역 : 70퍼센트 이하 12. 일반공업지역 : 70퍼센트이하 13. 준공업지역 : 70퍼센트 이하 14. 보전녹지지역 : 20퍼센트 이하 15. 생산녹지지역 : 20퍼센트 이하…,2026-09-18,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),"시행령 상한 70% 이하, 서울 조례 제44조제9호는 60% 이하"
10,"AI 요약 (Claude Haiku 4.5, 도구 없이 생성, sources/AI요약_원문_2026-09-21.md)",3번 표,준주거지역 용적률 300~400%,수치,수치 불일치,국토의 계획 및 이용에 관한 법률 시행령,제85조(용도지역 안에서의 용적률),법령ID 009419 / MST 288857,…100퍼센트 이상 300퍼센트 이하 6. 준주거지역 : 200퍼센트 이상 500퍼센트 이하 7. 중심상업지역 : 200퍼센트 이상 1천500퍼센트 이하 8. 일반상업지역 : 200퍼센트 이상 1천300퍼센트 이하 9. 근린상업지역 : 200퍼센트 이상 900퍼센트 이하 10. 유통상업지역 : 200퍼센트…,2026-09-18,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),"시행령 범위 200% 이상 500% 이하, 서울 조례 제48조제6호는 400% 이하"
