번호,대분류,용도지역,법_건폐율상한(%),시행령_건폐율상한(%),서울조례_건폐율(%),법_용적률상한(%),시행령_용적률하한(%),시행령_용적률상한(%),서울조례_용적률(%),서울도심_용적률(%),단위,비고,출처_법,출처_시행령,출처_조례,조회일
1,주거지역,제1종전용주거지역,70,50,50,500,50,100,100,,퍼센트 이하(용적률 하한은 이상),,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제1호·제85조제1항제1호 (법령ID 009419, MST 288857, 시행 2026-09-18)","서울특별시 도시계획 조례 제44조제1호·제48조제1호 (자치법규ID 2000719, MST 2149501, 시행 2026-07-13)",2026-09-21
2,주거지역,제2종전용주거지역,70,50,40,500,50,150,120,,퍼센트 이하(용적률 하한은 이상),,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제2호·제85조제1항제2호 (법령ID 009419, MST 288857, 시행 2026-09-18)","서울특별시 도시계획 조례 제44조제2호·제48조제2호 (자치법규ID 2000719, MST 2149501, 시행 2026-07-13)",2026-09-21
3,주거지역,제1종일반주거지역,70,60,60,500,100,200,150,,퍼센트 이하(용적률 하한은 이상),,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제3호·제85조제1항제3호 (법령ID 009419, MST 288857, 시행 2026-09-18)","서울특별시 도시계획 조례 제44조제3호·제48조제3호 (자치법규ID 2000719, MST 2149501, 시행 2026-07-13)",2026-09-21
4,주거지역,제2종일반주거지역,70,60,60,500,100,250,200,,퍼센트 이하(용적률 하한은 이상),,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제4호·제85조제1항제4호 (법령ID 009419, MST 288857, 시행 2026-09-18)","서울특별시 도시계획 조례 제44조제4호·제48조제4호 (자치법규ID 2000719, MST 2149501, 시행 2026-07-13)",2026-09-21
5,주거지역,제3종일반주거지역,70,50,50,500,100,300,250,,퍼센트 이하(용적률 하한은 이상),,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제5호·제85조제1항제5호 (법령ID 009419, MST 288857, 시행 2026-09-18)","서울특별시 도시계획 조례 제44조제5호·제48조제5호 (자치법규ID 2000719, MST 2149501, 시행 2026-07-13)",2026-09-21
6,주거지역,준주거지역,70,70,60,500,200,500,400,,퍼센트 이하(용적률 하한은 이상),,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제6호·제85조제1항제6호 (법령ID 009419, MST 288857, 시행 2026-09-18)","서울특별시 도시계획 조례 제44조제6호·제48조제6호 (자치법규ID 2000719, MST 2149501, 시행 2026-07-13)",2026-09-21
7,상업지역,중심상업지역,90,90,60,1500,200,1500,1000,800,퍼센트 이하(용적률 하한은 이상),,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제7호·제85조제1항제7호 (법령ID 009419, MST 288857, 시행 2026-09-18)","서울특별시 도시계획 조례 제44조제7호·제48조제7호 (자치법규ID 2000719, MST 2149501, 시행 2026-07-13)",2026-09-21
8,상업지역,일반상업지역,90,80,60,1500,200,1300,800,600,퍼센트 이하(용적률 하한은 이상),,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제8호·제85조제1항제8호 (법령ID 009419, MST 288857, 시행 2026-09-18)","서울특별시 도시계획 조례 제44조제8호·제48조제8호 (자치법규ID 2000719, MST 2149501, 시행 2026-07-13)",2026-09-21
9,상업지역,근린상업지역,90,70,60,1500,200,900,600,500,퍼센트 이하(용적률 하한은 이상),,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제9호·제85조제1항제9호 (법령ID 009419, MST 288857, 시행 2026-09-18)","서울특별시 도시계획 조례 제44조제9호·제48조제9호 (자치법규ID 2000719, MST 2149501, 시행 2026-07-13)",2026-09-21
10,상업지역,유통상업지역,90,80,60,1500,200,1100,600,500,퍼센트 이하(용적률 하한은 이상),,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제10호·제85조제1항제10호 (법령ID 009419, MST 288857, 시행 2026-09-18)","서울특별시 도시계획 조례 제44조제10호·제48조제10호 (자치법규ID 2000719, MST 2149501, 시행 2026-07-13)",2026-09-21
