구분,이름,거리_m,400m안,x_m,y_m,OSM,비고,조회일
공원,숭인근린공원,314,예,293,113,relation/4160590,근린공원,2026-09-21
공원,성줄어린이공원,518,,-514,-65,way/229027407,어린이공원,2026-09-21
공원,흥인지문공원,656,,-491,-432,way/608835315,,2026-09-21
공원,낙산공원,805,,-631,497,way/229027411,,2026-09-21
공원,삼선공원,873,,-483,724,way/223434842,,2026-09-21
공원,동망봉 어린이 공원,887,,235,851,way/416453504,어린이공원,2026-09-21
공원,우산각어린이공원,934,,887,-293,way/705245458,어린이공원,2026-09-21
공원,청계천공원,2012,,-1852,-785,relation/19175488,,2026-09-21
도로(primary),종로,347,예,,,way/1455241699,최근접 꼭짓점 거리,2026-09-21
도로(primary),청계천로,666,,,,way/732213456,최근접 꼭짓점 거리,2026-09-21
도로(primary),율곡로,692,,,,way/517932075,최근접 꼭짓점 거리,2026-09-21
도로(secondary),지봉로,108,예,,,way/1455543599,최근접 꼭짓점 거리,2026-09-21
도로(secondary),동망봉터널,498,,,,way/26238056,최근접 꼭짓점 거리,2026-09-21
도로(secondary),(무명),690,,,,way/482188705,최근접 꼭짓점 거리,2026-09-21
도로(tertiary),동망산길,400,예,,,way/1455543592,최근접 꼭짓점 거리,2026-09-21
도로(tertiary),보문사길,535,,,,way/37400834,최근접 꼭짓점 거리,2026-09-21
도로(tertiary),숭인동길,634,,,,way/1455241698,최근접 꼭짓점 거리,2026-09-21
도로(tertiary),마장로9길,667,,,,way/656123004,최근접 꼭짓점 거리,2026-09-21
도로(tertiary),(무명),674,,,,way/656123005,최근접 꼭짓점 거리,2026-09-21
역,동묘앞,391,예,270,-281,node/5916874394,,2026-09-21
역,창신,424,,77,415,node/6041673049,,2026-09-21
역,동묘앞,428,,114,-410,node/9454775466,,2026-09-21
역,동대문,531,,-254,-463,node/5812233465,,2026-09-21
역,동대문,751,,-427,-614,node/9454775467,,2026-09-21
역,신설동,777,,778,-7,node/7221602784,,2026-09-21
초등학교,창신초등학교,0,예,0,0,way/416195954,,2026-09-21
초등학교,명신초등학교,622,,-13,618,way/416204693,,2026-09-21
초등학교,동신초등학교,788,,239,747,way/469144895,,2026-09-21
초등학교,서울대광초등학교,888,,818,345,way/471360933,,2026-09-21
