번호,용도지역(21종),법 제77.78조 대분류,법 제77조제1항 건폐율 상한,법 제78조제1항 용적률 상한,시행령 제84조제1항 건폐율 범위,시행령 제85조제1항 용적률 범위,서울시 조례 제44조 건폐율,서울시 조례 제48조 용적률,서울도심 단서,조례 시행일,조회일,비고
1,제1종전용주거지역,주거지역(제1호가목),70퍼센트 이하,500퍼센트 이하,50퍼센트 이하,50퍼센트 이상 100퍼센트 이하,50퍼센트,100퍼센트,,2026-07-13,2026-09-21,
2,제2종전용주거지역,주거지역(제1호가목),70퍼센트 이하,500퍼센트 이하,50퍼센트 이하,50퍼센트 이상 150퍼센트 이하,40퍼센트,120퍼센트,,2026-07-13,2026-09-21,
3,제1종일반주거지역,주거지역(제1호가목),70퍼센트 이하,500퍼센트 이하,60퍼센트 이하,100퍼센트 이상 200퍼센트 이하,60퍼센트,150퍼센트,,2026-07-13,2026-09-21,
4,제2종일반주거지역,주거지역(제1호가목),70퍼센트 이하,500퍼센트 이하,60퍼센트 이하,100퍼센트 이상 250퍼센트 이하,60퍼센트,200퍼센트,,2026-07-13,2026-09-21,
5,제3종일반주거지역,주거지역(제1호가목),70퍼센트 이하,500퍼센트 이하,50퍼센트 이하,100퍼센트 이상 300퍼센트 이하,50퍼센트,250퍼센트,,2026-07-13,2026-09-21,
6,준주거지역,주거지역(제1호가목),70퍼센트 이하,500퍼센트 이하,70퍼센트 이하,200퍼센트 이상 500퍼센트 이하,60퍼센트,400퍼센트,,2026-07-13,2026-09-21,
7,중심상업지역,상업지역(제1호나목),90퍼센트 이하,1천500퍼센트 이하,90퍼센트 이하,200퍼센트 이상 1천500퍼센트 이하,60퍼센트,1천퍼센트,800퍼센트,2026-07-13,2026-09-21,
8,일반상업지역,상업지역(제1호나목),90퍼센트 이하,1천500퍼센트 이하,80퍼센트 이하,200퍼센트 이상 1천300퍼센트 이하,60퍼센트,800퍼센트,600퍼센트,2026-07-13,2026-09-21,
9,근린상업지역,상업지역(제1호나목),90퍼센트 이하,1천500퍼센트 이하,70퍼센트 이하,200퍼센트 이상 900퍼센트 이하,60퍼센트,600퍼센트,500퍼센트,2026-07-13,2026-09-21,
10,유통상업지역,상업지역(제1호나목),90퍼센트 이하,1천500퍼센트 이하,80퍼센트 이하,200퍼센트 이상 1천100퍼센트 이하,60퍼센트,600퍼센트,500퍼센트,2026-07-13,2026-09-21,
11,전용공업지역,공업지역(제1호다목),70퍼센트 이하,400퍼센트 이하,70퍼센트 이하,150퍼센트 이상 300퍼센트 이하,60퍼센트,200퍼센트,,2026-07-13,2026-09-21,
12,일반공업지역,공업지역(제1호다목),70퍼센트 이하,400퍼센트 이하,70퍼센트이하,150퍼센트 이상 350퍼센트 이하,60퍼센트,200퍼센트,,2026-07-13,2026-09-21,
13,준공업지역,공업지역(제1호다목),70퍼센트 이하,400퍼센트 이하,70퍼센트 이하,150퍼센트 이상 400퍼센트 이하,60퍼센트,400퍼센트,,2026-07-13,2026-09-21,
14,보전녹지지역,녹지지역(제1호라목),20퍼센트 이하,100퍼센트 이하,20퍼센트 이하,50퍼센트 이상 80퍼센트 이하,20퍼센트,50퍼센트,,2026-07-13,2026-09-21,
15,생산녹지지역,녹지지역(제1호라목),20퍼센트 이하,100퍼센트 이하,20퍼센트 이하,50퍼센트 이상 100퍼센트 이하,20퍼센트,50퍼센트,,2026-07-13,2026-09-21,
16,자연녹지지역,녹지지역(제1호라목),20퍼센트 이하,100퍼센트 이하,20퍼센트 이하,50퍼센트 이상 100퍼센트 이하,20퍼센트,50퍼센트,,2026-07-13,2026-09-21,
17,보전관리지역,보전관리지역(제2호가목),20퍼센트 이하,80퍼센트 이하,20퍼센트 이하,50퍼센트 이상 80퍼센트 이하,조례 미규정 - 서울특별시 관할구역 내 미지정,조례 미규정 - 서울특별시 관할구역 내 미지정,,-,2026-09-21,서울시는 도시지역 16종만 규정 - 임의 값을 넣지 않음
18,생산관리지역,생산관리지역(제2호나목),20퍼센트 이하,80퍼센트 이하,20퍼센트 이하,50퍼센트 이상 80퍼센트 이하,조례 미규정 - 서울특별시 관할구역 내 미지정,조례 미규정 - 서울특별시 관할구역 내 미지정,,-,2026-09-21,서울시는 도시지역 16종만 규정 - 임의 값을 넣지 않음
19,계획관리지역,계획관리지역(제2호다목),40퍼센트 이하,100퍼센트 이하,40퍼센트 이하,50퍼센트 이상 100퍼센트 이하,조례 미규정 - 서울특별시 관할구역 내 미지정,조례 미규정 - 서울특별시 관할구역 내 미지정,,-,2026-09-21,서울시는 도시지역 16종만 규정 - 임의 값을 넣지 않음
20,농림지역,농림지역(제3호),20퍼센트 이하,80퍼센트 이하,20퍼센트 이하,50퍼센트 이상 80퍼센트 이하,조례 미규정 - 서울특별시 관할구역 내 미지정,조례 미규정 - 서울특별시 관할구역 내 미지정,,-,2026-09-21,서울시는 도시지역 16종만 규정 - 임의 값을 넣지 않음
21,자연환경보전지역,자연환경보전지역(제4호),20퍼센트 이하,80퍼센트 이하,20퍼센트 이하,50퍼센트 이상 80퍼센트 이하,조례 미규정 - 서울특별시 관할구역 내 미지정,조례 미규정 - 서울특별시 관할구역 내 미지정,,-,2026-09-21,서울시는 도시지역 16종만 규정 - 임의 값을 넣지 않음
