osm_id,lon,lat,building_tag,name,용도분류,판정단계,판정근거
w26658456,126.995208,37.569393,yes,세운전자상가,상업·업무,L3,명칭 '세운전자상가' 중 '상가'
w60839164,126.982767,37.563456,yes,눈스퀘어,상업·업무,L2,shop=mall
w117914845,126.980471,37.565225,yes,롯데시티호텔,상업·업무,L2,tourism=hotel
w135131187,127.004274,37.579179,yes,한국방송통신대학교 나눔관,공공·교육,L3,명칭 '한국방송통신대학교 나눔관' 중 '대학교'
w135131190,127.003732,37.579649,yes,한국방송통신대학교 열린관,공공·교육,L3,명칭 '한국방송통신대학교 열린관' 중 '대학교'
w135131193,127.003957,37.578573,yes,서울대학교의과대학 국제관,공공·교육,L3,명칭 '서울대학교의과대학 국제관' 중 '대학교'
w135131195,127.003587,37.579057,yes,한국방송통신대학교 창조관,공공·교육,L3,명칭 '한국방송통신대학교 창조관' 중 '대학교'
w141779172,126.977590,37.569801,yes,일민미술관,종교·문화,L2,tourism=gallery
w141957146,126.981070,37.569855,yes,알파빌딩 (Alpha Building),상업·업무,L3,명칭 '알파빌딩 (Alpha Building)' 중 '빌딩'
w141957147,126.978029,37.569848,public,광화문우체국,공공·교육,L1,building=public
w141957150,126.978793,37.569829,yes,한국무역보혐공사 (Ksure),공공·교육,L3,명칭 '한국무역보혐공사 (Ksure)' 중 '공사'
w141957167,126.982174,37.569688,yes,영풍문고,상업·업무,L4,"내부 POI 4개: 영풍문고 (YP Books), 스타벅스 영풍문고점, KB국민은행"
w141957171,126.977852,37.573827,yes,대한민국역사박물관,종교·문화,L2,tourism=museum
w141957172,126.978002,37.570927,commercial,교보생명빌딩,상업·업무,L1,building=commercial
w141957173,126.980273,37.569734,yes,SK 서린빌딩,상업·업무,L3,명칭 'SK 서린빌딩' 중 '빌딩'
w141957175,126.979600,37.569828,yes,,상업·업무,L4,"내부 POI 2개: 공안과 의원, 민소한우"
w141957176,126.977854,37.572194,yes,KT광화문빌딩 West,상업·업무,L3,명칭 'KT광화문빌딩 West' 중 '빌딩'
w142096701,126.974801,37.569685,office,,상업·업무,L1,building=office
w142096702,126.976094,37.570964,yes,현대해상빌딩,상업·업무,L2,office=insurance
w142096704,126.982299,37.568357,commercial,DGB금융센터,상업·업무,L1,building=commercial
w142096705,126.976117,37.569613,yes,광화문빌딩,상업·업무,L3,명칭 '광화문빌딩' 중 '빌딩'
w142096706,126.981214,37.569352,yes,관정빌딩,상업·업무,L3,명칭 '관정빌딩' 중 '빌딩'
w170199399,126.976408,37.579801,yes,,종교·문화,L2,historic=yes
w170199400,126.978089,37.580282,yes,자경전,종교·문화,L2,historic=building
w170199402,126.994033,37.579708,yes,양화당,종교·문화,L2,historic=yes
w170199411,126.994261,37.579256,yes,환경전,종교·문화,L2,historic=yes
w170199412,126.992342,37.580380,yes,경훈각,종교·문화,L6,포함 영역: historic=castle (창덕궁)
w170199416,126.977380,37.579369,yes,연생전,종교·문화,L2,historic=yes
w170199421,126.990124,37.579656,yes,구선원전,종교·문화,L3,명칭 '구선원전' 중 '선원'
w170199423,126.976980,37.579055,yes,사정전,종교·문화,L2,historic=yes
w170199424,126.976641,37.579394,yes,경성전,종교·문화,L2,historic=castle
w170199428,126.976954,37.578528,yes,근정전,종교·문화,L2,historic=building
w170199436,126.993688,37.579685,yes,통명전,종교·문화,L2,historic=yes
w170199437,126.987775,37.578721,yes,현대엔지니어링,상업·업무,L4,내부 POI 1개: 이마트24
w170199439,126.976640,37.579084,yes,천추전,종교·문화,L2,historic=yes
w170199440,126.976812,37.575926,yes,광화문,종교·문화,L2,historic=city_gate
w170199441,126.977333,37.579062,yes,만춘전,종교·문화,L2,historic=yes
w170199443,126.978381,37.579005,yes,비현각,종교·문화,L2,historic=yes
w170199444,126.977362,37.579544,yes,연길당,종교·문화,L2,historic=yes
w170199447,126.976606,37.579726,yes,흠경각,종교·문화,L2,historic=yes
w170199448,126.977916,37.579013,yes,자선당,종교·문화,L2,historic=yes
w170199455,126.989953,37.577854,yes,돈화문,종교·문화,L2,historic=city_gate
w170199459,126.978578,37.580634,yes,재수합,종교·문화,L6,포함 영역: tourism=museum (국립민속박물관)
w170199463,126.976599,37.579966,yes,함원전,종교·문화,L2,historic=building
w170199464,126.976700,37.579574,yes,응지당,종교·문화,L2,historic=yes
w170199467,126.975920,37.578960,yes,수정전,종교·문화,L2,historic=building
w170199469,126.975924,37.579717,yes,경회루,종교·문화,L2,historic=building
w170199470,126.976827,37.579259,yes,,종교·문화,L2,historic=castle
w170199474,126.987485,37.577930,yes,현대건설 본사,상업·업무,L2,office=company
w170199477,126.976985,37.579515,yes,강녕전,종교·문화,L2,historic=building
w170199482,126.989931,37.580385,yes,의풍각,종교·문화,L6,포함 영역: historic=castle (창덕궁)
w170199483,126.978102,37.580109,yes,,종교·문화,L2,historic=building
w170207588,126.996928,37.582522,yes,국립서울과학관,종교·문화,L2,tourism=museum
w170403781,126.994553,37.574568,gate,,종교·문화,L1,building=gate
w170403782,126.994610,37.572111,yes,외대문,종교·문화,L2,historic=city_gate
w170403783,126.994443,37.573916,yes,,종교·문화,L2,historic=yes
w170403785,126.994753,37.574890,yes,,종교·문화,L6,포함 영역: amenity=place_of_worship
w170403786,126.993671,37.574336,gate,남신문,종교·문화,L1,building=gate
w170403790,126.994047,37.574260,yes,공신당,종교·문화,L2,historic=building
w170403795,126.995041,37.572621,yes,관리소,공공·교육,L2,amenity=ranger_station
w170403796,126.992460,37.575531,gate,남신문,종교·문화,L1,building=gate
w170403797,126.993957,37.583355,yes,,종교·문화,L6,포함 영역: historic=castle (창경궁)
w170403798,126.992670,37.583303,yes,선향재,종교·문화,L6,포함 영역: historic=castle (창덕궁)
w170403799,126.994845,37.573081,yes,,종교·문화,L6,포함 영역: amenity=place_of_worship
w170403801,126.992694,37.582077,yes,주합루,종교·문화,L2,historic=yes
w170403802,126.994022,37.574890,shrine,정전,종교·문화,L1,building=shrine
w170403806,126.994629,37.574712,yes,,종교·문화,L6,포함 영역: historic=yes
w170403807,126.993268,37.574492,yes,칠사당,종교·문화,L2,historic=building
w170403808,126.994917,37.572840,yes,공민왕신당,종교·문화,L6,포함 영역: historic=yes
w170403811,126.992290,37.581092,yes,가정당,종교·문화,L6,포함 영역: historic=castle (창덕궁)
w170403813,126.994608,37.573977,yes,,종교·문화,L2,historic=yes
w170403815,126.989790,37.578851,yes,내각,종교·문화,L6,포함 영역: historic=castle (창덕궁)
w170403819,126.969518,37.554546,yes,,상업·업무,L2,office=quango
w170403820,126.994827,37.574878,yes,전사청,종교·문화,L6,포함 영역: amenity=place_of_worship
w170403824,126.992427,37.582032,yes,서향각,종교·문화,L2,historic=yes
w170403825,126.994030,37.582984,greenhouse,대온실,기타·부속,L1,building=greenhouse
w170403828,126.992786,37.575918,shrine,영녕전,종교·문화,L1,building=shrine
w172169454,126.948898,37.582748,apartments,110,주거,L1,building=apartments
w172169629,126.947136,37.583494,apartments,105,주거,L1,building=apartments
w172169743,126.947445,37.583048,apartments,106,주거,L1,building=apartments
w172169875,126.948105,37.582731,apartments,109,주거,L1,building=apartments
w172169969,126.947672,37.582435,apartments,108,주거,L1,building=apartments
w172170032,126.946831,37.582637,apartments,107,주거,L1,building=apartments
w172246208,126.948001,37.583067,yes,,상업·업무,L4,"내부 POI 6개: 한양종합상가, CU, 굿아이스크림"
w172469442,126.949468,37.582259,apartments,101,주거,L1,building=apartments
w172469950,126.949829,37.582013,apartments,102,주거,L1,building=apartments
w172471941,126.949772,37.582749,yes,,상업·업무,L4,내부 POI 1개: 더 하우스 헤어
w172471942,126.949635,37.582850,yes,,상업·업무,L5,인접 POI 스냅 1개: 헤어짱 (8m)
w172471943,126.948401,37.583202,yes,,주거,L6,포함 영역: landuse=residential (홍제한양아파트)
w172471944,126.949778,37.582869,yes,,상업·업무,L4,"내부 POI 2개: 오니쿡스튜디오, oneecook(오니쿡)"
w172471945,126.949696,37.582943,yes,,상업·업무,L5,인접 POI 스냅 1개: 파리바게트 (1m)
w172644401,126.949381,37.582706,yes,,상업·업무,L4,내부 POI 1개: 정가네정육점
w172644409,126.949580,37.582983,yes,,미분류,-,OSM 내 용도 근거 없음
w172644410,126.949691,37.583115,yes,,상업·업무,L4,내부 POI 1개: 아이힐안경
w172644412,126.949268,37.582776,yes,,미분류,-,OSM 내 용도 근거 없음
w172644413,126.949387,37.582905,yes,,미분류,-,OSM 내 용도 근거 없음
w172644414,126.949488,37.583026,yes,,미분류,-,OSM 내 용도 근거 없음
w172644415,126.948993,37.583097,yes,,미분류,-,OSM 내 용도 근거 없음
w172644417,126.949220,37.583275,yes,,미분류,-,OSM 내 용도 근거 없음
w172644660,126.948906,37.583425,yes,,상업·업무,L4,내부 POI 1개: 해남이발관
w172644661,126.948648,37.583289,yes,,미분류,-,OSM 내 용도 근거 없음
w172644662,126.949102,37.583531,yes,,상업·업무,L4,"내부 POI 2개: 달다구리제작소, 케이약국"
w172644663,126.948756,37.583324,yes,,미분류,-,OSM 내 용도 근거 없음
w172644664,126.949482,37.583335,yes,,미분류,-,OSM 내 용도 근거 없음
w172644665,126.949315,37.583521,yes,,상업·업무,L4,"내부 POI 4개: 한베고기집, 싱크대119, 빛가온 동물병원"
w173001960,126.951498,37.579626,school,서울안산초등학교,공공·교육,L1,building=school
w174104314,126.955506,37.573017,yes,이진아 기념도서관,공공·교육,L2,amenity=library
w174117674,126.948150,37.584738,yes,하이마트,상업·업무,L2,shop=electronics
w181574565,126.973739,37.565897,roof,,기타·부속,L1,building=roof
w181574566,126.975429,37.565722,yes,,종교·문화,L2,historic=yes
w181574567,126.975140,37.566128,yes,석어당,종교·문화,L2,historic=yes
w181574569,126.975522,37.565957,yes,덕홍전,종교·문화,L2,historic=yes
w181574570,126.975908,37.565806,yes,,종교·문화,L5,인접 POI 스냅 1개: historic=yes (5m)
w181574572,126.974740,37.566360,yes,준명당,종교·문화,L2,historic=yes
w181574573,126.975315,37.565744,yes,,종교·문화,L2,historic=yes
w181574575,126.973705,37.566094,roof,,기타·부속,L1,building=roof
