"번호","용도지역","구분","법_건폐율_상한","법_건폐율_출처","법_용적률_상한","법_용적률_출처","시행령_건폐율","시행령_건폐율_출처","시행령_용적률","시행령_용적률_출처","조례_건폐율_값","조례_건폐율_단위","조례_건폐율_출처","조례_용적률_값","조례_용적률_단위","조례_용적률_출처","조례_용적률_서울도심_값","조례_용적률_서울도심_출처","비고","상위법령_판본","조회일","조회경로","재현명령"
"1","제1종전용주거지역","주거","70퍼센트 이하","법 제77조제1항제1호가목","500퍼센트 이하","법 제78조제1항제1호가목","50퍼센트 이하","시행령 제84조제1항제1호","50퍼센트 이상 100퍼센트 이하","시행령 제85조제1항제1호","50","퍼센트 이하","서울특별시 도시계획 조례 제44조제1호 · 시행 2026-07-13","100","퍼센트 이하","서울특별시 도시계획 조례 제48조제1호 · 시행 2026-07-13","","","","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
"2","제2종전용주거지역","주거","70퍼센트 이하","법 제77조제1항제1호가목","500퍼센트 이하","법 제78조제1항제1호가목","50퍼센트 이하","시행령 제84조제1항제2호","50퍼센트 이상 150퍼센트 이하","시행령 제85조제1항제2호","40","퍼센트 이하","서울특별시 도시계획 조례 제44조제2호 · 시행 2026-07-13","120","퍼센트 이하","서울특별시 도시계획 조례 제48조제2호 · 시행 2026-07-13","","","","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
"3","제1종일반주거지역","주거","70퍼센트 이하","법 제77조제1항제1호가목","500퍼센트 이하","법 제78조제1항제1호가목","60퍼센트 이하","시행령 제84조제1항제3호","100퍼센트 이상 200퍼센트 이하","시행령 제85조제1항제3호","60","퍼센트 이하","서울특별시 도시계획 조례 제44조제3호 · 시행 2026-07-13","150","퍼센트 이하","서울특별시 도시계획 조례 제48조제3호 · 시행 2026-07-13","","","","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
"4","제2종일반주거지역","주거","70퍼센트 이하","법 제77조제1항제1호가목","500퍼센트 이하","법 제78조제1항제1호가목","60퍼센트 이하","시행령 제84조제1항제4호","100퍼센트 이상 250퍼센트 이하","시행령 제85조제1항제4호","60","퍼센트 이하","서울특별시 도시계획 조례 제44조제4호 · 시행 2026-07-13","200","퍼센트 이하","서울특별시 도시계획 조례 제48조제4호 · 시행 2026-07-13","","","","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
"5","제3종일반주거지역","주거","70퍼센트 이하","법 제77조제1항제1호가목","500퍼센트 이하","법 제78조제1항제1호가목","50퍼센트 이하","시행령 제84조제1항제5호","100퍼센트 이상 300퍼센트 이하","시행령 제85조제1항제5호","50","퍼센트 이하","서울특별시 도시계획 조례 제44조제5호 · 시행 2026-07-13","250","퍼센트 이하","서울특별시 도시계획 조례 제48조제5호 · 시행 2026-07-13","","","","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
"6","준주거지역","주거","70퍼센트 이하","법 제77조제1항제1호가목","500퍼센트 이하","법 제78조제1항제1호가목","70퍼센트 이하","시행령 제84조제1항제6호","200퍼센트 이상 500퍼센트 이하","시행령 제85조제1항제6호","60","퍼센트 이하","서울특별시 도시계획 조례 제44조제6호 · 시행 2026-07-13","400","퍼센트 이하","서울특별시 도시계획 조례 제48조제6호 · 시행 2026-07-13","","","","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
"7","중심상업지역","상업","90퍼센트 이하","법 제77조제1항제1호나목","1천500퍼센트 이하","법 제78조제1항제1호나목","90퍼센트 이하","시행령 제84조제1항제7호","200퍼센트 이상 1천500퍼센트 이하","시행령 제85조제1항제7호","60","퍼센트 이하","서울특별시 도시계획 조례 제44조제7호 · 시행 2026-07-13","1000","퍼센트 이하","서울특별시 도시계획 조례 제48조제7호 · 시행 2026-07-13","800","서울특별시 도시계획 조례 제48조제7호 단서 · 시행 2026-07-13","서울도심에서는 단서 값 적용 — 기본값과 따로 적음","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
"8","일반상업지역","상업","90퍼센트 이하","법 제77조제1항제1호나목","1천500퍼센트 이하","법 제78조제1항제1호나목","80퍼센트 이하","시행령 제84조제1항제8호","200퍼센트 이상 1천300퍼센트 이하","시행령 제85조제1항제8호","60","퍼센트 이하","서울특별시 도시계획 조례 제44조제8호 · 시행 2026-07-13","800","퍼센트 이하","서울특별시 도시계획 조례 제48조제8호 · 시행 2026-07-13","600","서울특별시 도시계획 조례 제48조제8호 단서 · 시행 2026-07-13","서울도심에서는 단서 값 적용 — 기본값과 따로 적음","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
"9","근린상업지역","상업","90퍼센트 이하","법 제77조제1항제1호나목","1천500퍼센트 이하","법 제78조제1항제1호나목","70퍼센트 이하","시행령 제84조제1항제9호","200퍼센트 이상 900퍼센트 이하","시행령 제85조제1항제9호","60","퍼센트 이하","서울특별시 도시계획 조례 제44조제9호 · 시행 2026-07-13","600","퍼센트 이하","서울특별시 도시계획 조례 제48조제9호 · 시행 2026-07-13","500","서울특별시 도시계획 조례 제48조제9호 단서 · 시행 2026-07-13","서울도심에서는 단서 값 적용 — 기본값과 따로 적음","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
"10","유통상업지역","상업","90퍼센트 이하","법 제77조제1항제1호나목","1천500퍼센트 이하","법 제78조제1항제1호나목","80퍼센트 이하","시행령 제84조제1항제10호","200퍼센트 이상 1천100퍼센트 이하","시행령 제85조제1항제10호","60","퍼센트 이하","서울특별시 도시계획 조례 제44조제10호 · 시행 2026-07-13","600","퍼센트 이하","서울특별시 도시계획 조례 제48조제10호 · 시행 2026-07-13","500","서울특별시 도시계획 조례 제48조제10호 단서 · 시행 2026-07-13","서울도심에서는 단서 값 적용 — 기본값과 따로 적음","법 법령ID 009294 · MST 284013 · 시행 2026-07-01 / 시행령 법령ID 009419 · MST 288857 · 시행 2026-09-18","2026-09-21","law.go.kr OPEN API (법령·자치법규 lawSearch → lawService)","powershell -ExecutionPolicy Bypass -File src\ordinance.ps1"
